Ano;Produção(ton);;;;
1950;14424.64;;;;
1951;14060.21;;;;
1952;13687.79;;;;
1953;12807.32;;;;
1954;12088.19;;;;
1955;14024.3;;;;
1956;18.582.206;;;;
1957;16051.72;;;;
1958;14258.61;;;;
1959;16272.71;;;;
1960;19747.41;;;;
1961;26890.7;;;;
1962;44674.86;;;;
1963;65.796.711;;;;
1964;44.695.588;;;;
1965;52.967.742;;;;
1966;66.196.985;;;;
1967;81.842.605;;;;
1968;75.069.056;;;;
1969;97.278.188;;;;
1970;79.715.118;;;;
1971;114572.22;;;;
1972;155.135.309;;;;
1973;152.764.245;;;;
1974;109.430.041;;;;
1975;153.949.952;;;;
1976;76.409.901;;;;
1977;145.820.954;;;;
1978;190228.57;;;;
1979;231401.17;;;;
1980;209.803.903;;;;
1981;175.757.126;;;;
1982;168470.61;;;;
1983;233232.22;;;;
1984;233187.55;;;;
1985;198982.13;;;;
1986;231816.47;;;;
1987;229829.63;;;;
1988;143434.8;;;;
1989;144393.1;;;;
1990;30.241.462;;;;
1991;60.848.807;;;;
1992;61.421.693;;;;
1993;49.743.406;;;;
1994;80.798.732;;;;
1995;58.538.809;;;;
1996;94294;;;;
1997;114289.3;;;;
1998;81799;;;;
1999;25205;;;;
2000;16800;;;;
2001;39197;;;;
2002;21573;;;;
2003;24405.2;;;;
2004;52493.15;;;;
2005;41666.1;;;;
2006;53248;;;;
2007;54783.7;;;;
2008;77.683.495;;;;
2009;108547.11;;;;
2010;96.912.409;;;;
2011;75.629.842;;;;
2012;99.409.244;;;;
2013;110133.81;;;;
2014;99.306.256;;;;
2015;120.452.877;;;;
